block_id	hash	time	size	weight	version	lock_time	is_coinbase	has_witness	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total
194	a7edd1f5436d5867b26cbf0bff7663329198b1d4ab41beb8a3b9b36836dd1429	2009-01-12 08:10:44	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
195	49203e3de10ef224649f86efe80fc40bbaa30bc2ae069204724f0d33dbc744df	2009-01-12 08:33:45	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
196	3f3c3521288c32c85172217f6dc0275740425e28d517f4b6638d7b282c409221	2009-01-12 08:47:26	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
197	7a98238d69b473e82a4ccfa62463064379c0c96fa890a951ccdbb924f5572dcb	2009-01-12 09:08:32	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
198	8453119b70f9a2b31aa32c64b5cade25fea8b67fb3437cb90a2332463f03250c	2009-01-12 09:22:41	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
199	7794b939df62305460eb1b03adbf4a0cc1e1b43a3670e5272b7c71bf6574fa28	2009-01-12 09:32:37	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
200	2b1f06c2401d3b49a33c3f5ad5864c0bc70044c4068f9174546f3cfc1887d5ba	2009-01-12 09:38:40	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
201	864b69193eb78695cc6990d65c37877ede30dbddbe1a5a81a5a0bfb370c6ce1d	2009-01-12 09:50:37	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
202	3eb409c61a3314558d8355a9f2e5ab4470cd12cac3d3eb48c1f76282e8fee468	2009-01-12 10:09:04	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
203	1c3b9c8a47f3f6f29a1580df8478cfc692c5a2f6ba3bcbe0f9251f32170fd665	2009-01-12 10:31:36	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
204	4b2eaa4a5da7d929fc652e089d7d1b86948fdf920ef430c03b93172fd4e6a721	2009-01-12 10:37:18	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
205	b4789eff05c89c1b396c05f13a4b93e14295d15afda191e108dac8a1a292f126	2009-01-12 10:46:11	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
206	32cbb7e4d08f02fdd78368a7a03ff54c13191d1023aa1e3f157027241d9840ae	2009-01-12 10:52:57	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
207	10213d32652ab07be761d88a33ead6a159fa9bc60456843bbd3ab9583b9dc383	2009-01-12 10:58:29	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
208	3e0700022ee439f07d77033161449339f46a90e408290af3f65259ad5e724977	2009-01-12 11:09:07	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
209	15ca7e3d03d9866a335400244e71dfc405c551c2854fc8d8edfa82729438357d	2009-01-12 11:21:56	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
210	4cfff6b0df4bb66e6ff4d4bfeebf25b61425a81ff9b590603955ec6f840756c6	2009-01-12 11:25:13	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
211	17b5dd11f3672e2eae1b5b5bdd7804eb6ca4e780c46745a0c5d2d79ddb9aaa1b	2009-01-12 11:35:07	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
212	70a7de774e7ce62e55460baab990608f9b9564615846aaaa3c6cd7e93af73f7a	2009-01-12 11:46:17	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
213	f2f1c70f29204fdf71f8f158b5f0e8f56aa6bc9a7978d44a4b481b5622a00c2f	2009-01-12 12:10:21	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
214	e483dbbeff3ed483b5cf783fb858dc517b389578d5d7dd64ae760abcd7a0f7c9	2009-01-12 12:17:42	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
215	dc97de0dc82410ad3d32fe6f4f82ecc17ab544893830f6c802f9e31e0050a0f8	2009-01-12 12:25:14	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
216	6057ddaf5005be3a205bacc8faf97e3fd6348d655e5ce98917ee116ce47c9b01	2009-01-12 12:49:54	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
217	56a198d8fa14f10e6f7d7df7b14ea3bf90cf20f98bd4bce89a41e423b78f5236	2009-01-12 13:13:49	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
218	46e421bd0d33659cf4be11abfa1b864c25a0e5671a646ed6e7c81d3a69211700	2009-01-12 13:29:26	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
