block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable	spending_block_id	spending_transaction_hash	spending_index	spending_time	spending_value_usd	spending_sequence	spending_signature_hex	spending_witness	lifespan	cdd
9	0437cd7f8525ceed2324359c2d0ba26006d92d856a9c20fa0241106ee5a597c9	0	2009-01-09 03:54:39	5000000000	0.5	12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S	pubkey	410411db93e1dcdb8a016b49840f8c53bc1eb68a382e97b1482ecad7b148a6909a5cb2e0eaddfb84ccf9744464f82e160bfa9b8b64f9d4c03f999b8643f656b412a3ac	1	1	170	f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16	0	2009-01-12 03:30:25	0.5	4294967295	47304402204e45e16932b8af514961a1d3a1a25fdf3f4f7732e9d624c6c61548ab5fb8cd410220181522ec8eca07de4860a4acdd12909d831cc56cbbac4622082221a8768d1d0901		257746	149.1585648148148
170	f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16	1	2009-01-12 03:30:25	4000000000	0.4	12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S	pubkey	410411db93e1dcdb8a016b49840f8c53bc1eb68a382e97b1482ecad7b148a6909a5cb2e0eaddfb84ccf9744464f82e160bfa9b8b64f9d4c03f999b8643f656b412a3ac	0	1	181	a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be	0	2009-01-12 06:02:13	0.4	4294967295	473044022027542a94d6646c51240f23a76d33088d3dd8815b25e9ea18cac67d1171a3212e02203baf203c6e7b80ebd3e588628466ea28be572fe1aaa3f30947da4763dd3b3d2b01		9108	4.216666666666667
181	a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be	1	2009-01-12 06:02:13	3000000000	0.3	12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S	pubkey	410411db93e1dcdb8a016b49840f8c53bc1eb68a382e97b1482ecad7b148a6909a5cb2e0eaddfb84ccf9744464f82e160bfa9b8b64f9d4c03f999b8643f656b412a3ac	0	1	182	591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073	0	2009-01-12 06:12:16	0.3	4294967295	47304402201f27e51caeb9a0988a1e50799ff0af94a3902403c3ad4068b063e7b4d1b0a76702206713f69bd344058b0dee55a9798759092d0916dbbc3e592fee43060005ddc17401		603	0.209375
182	591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073	1	2009-01-12 06:12:16	2900000000	0.29	12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S	pubkey	410411db93e1dcdb8a016b49840f8c53bc1eb68a382e97b1482ecad7b148a6909a5cb2e0eaddfb84ccf9744464f82e160bfa9b8b64f9d4c03f999b8643f656b412a3ac	0	1	183	12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba	0	2009-01-12 06:34:22	0.29	4294967295	483045022052ffc1929a2d8bd365c6a2a4e3421711b4b1e1b8781698ca9075807b4227abcb0221009984107ddb9e3813782b095d0d84361ed4c76e5edaf6561d252ae162c2341cfb01		1326	0.44506944444444446
183	12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba	0	2009-01-12 06:34:22	100000000	0.01	13HtsYzne8xVPdGDnmJX8gHgBZerAfJGEf	pubkey	4104baa9d36653155627c740b3409a734d4eaf5dcca9fb4f736622ee18efcf0aec2b758b2ec40db18fbae708f691edb2d4a2a3775eb413d16e2e3c0f8d4c69119fd1ac	0	1	187	4385fcf8b14497d0659adccfe06ae7e38e0b5dc95ff8a13d7c62035994a0cd79	0	2009-01-12 07:16:40	0.01	4294967295	473044022041d56d649e3ca8a06ffc10dbc6ba37cb958d1177cc8a155e83d0646cd5852634022047fd6a02e26b00de9f60fb61326856e66d7a0d5e2bc9d01fb95f689fc705c04b01		2538	0.029375
182	591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073	0	2009-01-12 06:12:16	100000000	0.01	1LzBzVqEeuQyjD2mRWHes3dgWrT9titxvq	pubkey	410401518fa1d1e1e3e162852d68d9be1c0abad5e3d6297ec95f1f91b909dc1afe616d6876f92918451ca387c4387609ae1a895007096195a824baf9c38ea98c09c3ac	0	1	221	298ca2045d174f8a158961806ffc4ef96fad02d71a6b84d9fa0491813a776160	0	2009-01-12 14:21:00	0.01	4294967295	493046022100f493d504a670e6280bc76ee285accf2796fd6a630659d4fa55dccb793fc9346402210080ecfbe069101993eb01320bb1d6029c138b27835e20ad54c232c36ffe10786301		29324	0.33939814814814817
183	12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba	1	2009-01-12 06:34:22	2800000000	0.28	12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S	pubkey	410411db93e1dcdb8a016b49840f8c53bc1eb68a382e97b1482ecad7b148a6909a5cb2e0eaddfb84ccf9744464f82e160bfa9b8b64f9d4c03f999b8643f656b412a3ac	0	1	248	828ef3b079f9c23829c56fe86e85b4a69d9e06e5b54ea597eef5fb3ffef509fe	0	2009-01-12 20:04:20	0.28	4294967295	483045022100c12a7d54972f26d14cb311339b5122f8c187417dde1e8efb6841f55c34220ae0022066632c5cd4161efa3a2837764eee9eb84975dd54c2de2865e9752585c53e7cce01		48598	15.749351851851852
